PanjivaRecordID,ConsigneePanjivaID,HSCode,ShipmentDestination,ShipmentOrigin,ShipperPanjivaID
9250431001002,1479,327,393,7,380
9250623001002,209,310,168,9,714
9251199001002,1382,216,613,11,124
9251391001002,1125,216,58,0,935
9251007001002,13,216,543,10,124
9251135001002,1073,79,314,7,966
9251263001002,317,157,627,2,80
9252543001002,1255,242,126,10,824
9252863001002,844,227,598,5,205
9252095001002,74,340,71,8,80
9252223001002,1699,32,277,8,986
9252415001002,1117,216,550,7,8
9252607001002,303,171,357,5,496
9252799001002,209,458,141,2,323
9252991001002,1456,318,528,10,47
9253119001002,1233,16,605,4,231
9253503001002,925,283,518,5,99
9253567001002,489,102,6,1,19
9253695001002,489,100,227,1,19
9253759001002,1233,341,219,8,231
9253247001002,1233,340,147,3,231
9253311001002,1399,300,284,2,19
9253375001002,925,107,603,4,18
9253439001002,1129,127,83,2,625
9253887001002,925,445,21,6,482
9254143001002,783,164,134,5,938
9254463001002,877,184,345,5,19
9254015001002,201,218,372,10,299
9254079001002,1793,405,290,3,552
9254527001002,1163,457,218,10,44
9254783001002,1111,295,206,5,596
9255359001002,1111,494,524,1,596
9255807001002,1111,492,218,4,596
9255039001002,967,491,247,3,772
9256063001002,877,45,96,2,19
9256831001002,1766,57,112,5,371
9255999001002,877,404,218,10,19
9256319001002,127,26,355,6,986
9256639001002,557,86,95,2,496
9256767001002,1577,80,269,8,216
9257279001002,560,477,354,7,610
9257023001002,380,279,167,2,961
9257087001002,127,223,0,3,986
9257151001002,1653,216,215,7,191
9257407001002,539,170,134,1,371
9258047001002,337,216,150,4,77
9258175001002,85,214,412,8,986
9258239001002,306,325,453,8,966
9258559001002,832,216,577,4,80
9258879001002,682,167,456,7,496
9259135001002,1039,228,140,7,247
9259199001002,85,276,51,8,986
9259775001002,550,346,116,8,41
9259839001002,1441,79,168,3,47
9259007001002,22,213,218,10,17
9259647001002,510,79,579,9,772
9259903001002,1441,270,433,7,686
9260095001002,1715,351,295,4,807
9260159001002,550,192,475,3,41
9260287001002,1448,428,116,9,529
9260351001002,1399,449,136,7,19
9260479001002,989,148,116,1,19
9260735001002,498,100,23,4,83
9261055001002,1441,98,298,2,211
9261503001002,989,336,581,2,19
9261311001002,1399,101,345,7,19
9261375001002,1399,232,135,8,19
9261823001002,448,32,397,4,497
9261887001002,477,445,120,11,539
9261951001002,1367,481,175,11,231
9262015001002,1690,174,445,8,970
9262719001002,494,457,432,1,25
9262207001002,1399,363,135,4,19
9262335001002,489,101,528,9,19
9262463001002,1399,474,295,2,19
9262655001002,539,180,353,8,371
9262847001002,1591,475,638,0,840
9263615001002,51,199,105,5,17
9262911001002,989,231,116,9,19
9263103001002,168,4,116,1,371
9263487001002,943,415,204,0,152
9263871001002,578,216,304,4,80
9264383001002,77,265,1,7,85
9264575001002,1591,362,116,10,840
9264127001002,578,58,243,8,235
9264191001002,1335,49,505,5,601
9264767001002,480,295,504,5,547
9265599001002,470,101,463,8,893
9265727001002,897,116,555,3,62
9265535001002,724,136,510,4,970
9265215001002,1399,199,135,0,19
9265919001002,544,105,521,4,596
9266047001002,442,109,300,9,158
9266111001002,1107,422,343,3,543
9266367001002,442,7,300,4,158
9266175001002,638,21,564,0,41
9266559001002,788,136,535,1,970
9266623001002,892,301,197,3,196
9266751001002,1234,101,284,11,19
9267583001002,545,379,118,3,596
9267647001002,293,494,109,4,40
9267839001002,680,16,100,10,543
9267135001002,632,106,196,10,111
9267263001002,442,139,397,8,158
9267327001002,1822,489,513,3,624
9267903001002,1234,245,519,7,19
9268863001002,377,140,338,9,917
9268159001002,918,233,300,1,108
9268223001002,903,437,492,3,113
9268351001002,1700,320,492,0,328
9268479001002,442,154,300,5,158
9268927001002,918,221,359,3,108
9269503001002,1610,251,116,10,689
9269567001002,442,293,300,11,158
9269823001002,463,351,300,7,725
9269887001002,896,453,157,8,986
9270719001002,711,235,224,1,41
9270015001002,468,109,302,4,19
9270207001002,537,452,300,0,927
9270463001002,1740,37,20,3,135
9270591001002,1615,49,141,7,607
9271103001002,569,195,275,8,696
9271167001002,609,296,239,3,107
9271295001002,539,61,197,2,371
9271679001002,977,398,266,5,107
9271999001002,977,439,356,1,107
9272063001002,977,239,356,7,107
9272255001002,696,295,112,1,696
9272639001002,190,249,247,9,25
9273023001002,1465,30,321,6,107
9273087001002,1465,274,478,6,107
9273151001002,616,259,262,6,696
9273343001002,1465,487,482,10,107
9273471001002,1465,337,482,3,107
9273727001002,1267,53,520,0,107
9273791001002,524,195,257,8,263
9273855001002,1736,82,520,5,696
9274047001002,222,225,66,5,988
9274239001002,1047,122,308,10,455
9274303001002,920,360,608,5,17
9274367001002,1047,216,402,4,692
9274495001002,1597,343,358,2,469
9274559001002,961,222,235,2,854
9274623001002,939,415,399,2,235
9274687001002,954,52,475,2,771
9274751001002,795,152,300,1,412
9275007001002,1047,216,159,1,340
9276095001002,1603,231,233,3,689
9276159001002,135,216,446,0,191
9276223001002,856,140,329,10,17
9276287001002,26,282,475,9,25
9276351001002,1076,240,544,9,927
9276479001002,1681,248,543,7,262
9276671001002,1080,236,551,0,78
9277055001002,1677,216,292,4,60
9277119001002,1416,77,71,3,456
9277695001002,1489,390,574,2,501
9278015001002,1685,412,182,8,135
9278335001002,1507,134,50,9,853
9278783001002,462,431,540,0,157
9279039001002,595,26,125,6,484
9279231001002,433,403,57,3,943
9279295001002,1520,227,405,4,209
9279423001002,590,166,629,0,211
9279487001002,612,16,244,11,41
9279551001002,1182,175,482,11,19
9279743001002,837,336,543,11,69
9279807001002,1184,302,345,5,970
9280639001002,137,301,56,10,888
9280895001002,315,248,198,4,947
9281087001002,1103,36,247,4,47
9282239001002,539,213,499,11,371
9282687001002,1275,474,85,7,17
9282175001002,322,246,461,0,136
9282303001002,633,368,355,11,696
9282623001002,1280,121,392,6,425
9282815001002,1507,168,363,7,853
9282943001002,1507,42,50,7,853
9283071001002,927,1,98,2,398
9243455001002,354,494,280,2,216
9243647001002,319,55,464,8,253
9243775001002,76,478,357,9,80
9243839001002,212,216,337,0,463
9270398001002,896,4,300,1,678
9207422001002,6,182,284,7,997
9209022001002,1087,388,147,6,151
9211902001002,93,64,134,2,501
9212350001002,658,488,469,5,596
9213118001002,1417,84,218,10,486
9241022001002,215,462,394,2,497
9249854001002,1069,216,24,4,950
9207870001002,645,399,113,1,805
9207678001002,287,188,515,7,44
9207230001002,910,227,487,10,986
9207166001002,524,438,608,5,263
9208126001002,505,291,39,3,963
9208766001002,884,470,303,2,151
9209854001002,421,328,34,4,151
9210622001002,100,102,4,0,19
9210878001002,131,234,502,6,486
9211326001002,950,288,447,3,19
9211390001002,513,286,610,3,40
9211454001002,1723,117,520,0,343
9211710001002,1489,436,512,2,501
9212478001002,372,417,604,11,552
9213054001002,1054,236,110,8,343
9213182001002,276,263,339,6,689
9213310001002,854,299,118,2,486
9213630001002,1764,253,520,1,909
9213758001002,424,276,555,8,516
9214142001002,1234,86,1,2,19
9214590001002,1558,281,223,3,25
9214654001002,147,213,520,4,80
9214718001002,1713,292,162,2,432
9214782001002,462,142,231,9,157
9214846001002,507,143,337,4,917
9214910001002,1713,493,602,8,432
9215294001002,1713,402,571,2,432
9215614001002,416,70,520,4,678
9215934001002,1686,202,253,2,858
9215998001002,920,141,179,4,17
9216062001002,537,264,233,3,927
9216382001002,144,209,546,10,19
9216894001002,899,267,354,3,24
9217150001002,998,102,328,1,19
9217406001002,440,179,524,11,19
9217598001002,440,104,208,10,19
9217790001002,998,152,523,4,19
9217918001002,940,292,221,2,283
9217982001002,545,241,152,3,596
9219134001002,144,301,495,9,19
9219390001002,144,172,546,8,19
9219518001002,144,100,571,0,19
9219838001002,663,495,432,6,914
9219902001002,662,406,68,8,291
9220030001002,435,164,543,4,917
9220222001002,791,477,382,3,157
9220414001002,913,55,542,8,17
9220542001002,614,237,138,7,811
9220734001002,922,216,333,7,418
9220990001002,1586,305,102,2,908
9221438001002,974,182,480,2,2
9221630001002,1503,388,425,8,619
9221694001002,64,434,354,2,60
9222078001002,389,168,82,10,158
9222142001002,1730,140,535,1,17
9222526001002,691,222,572,9,699
9222590001002,502,387,375,0,239
9222846001002,538,396,369,9,246
9222910001002,1726,360,546,0,543
9224254001002,928,262,117,2,19
9224574001002,653,105,531,8,516
9224830001002,1507,21,424,4,853
9224894001002,1507,301,568,11,853
9225022001002,128,182,140,7,136
9225086001002,128,115,585,1,136
9225982001002,1746,403,612,8,25
9226174001002,53,229,611,2,627
9226494001002,929,450,482,5,768
9226942001002,929,35,65,6,620
9227070001002,793,351,221,6,328
9227838001002,1682,99,592,5,17
9228030001002,376,337,392,3,961
9228094001002,1713,320,274,2,432
9228286001002,1504,104,542,11,947
9228414001002,376,358,542,9,961
9230590001002,1034,100,175,9,196
9230654001002,1034,101,447,8,196
9231166001002,7,439,389,5,928
9231550001002,144,196,546,8,19
9231934001002,319,216,620,1,239
9232254001002,1479,368,357,3,393
9232318001002,312,366,35,2,477
9232382001002,1519,425,160,9,239
9232702001002,476,74,482,7,961
9232766001002,1776,247,187,0,366
9232830001002,520,140,523,4,158
9233150001002,36,246,482,2,122
9233790001002,614,224,147,11,811
9234366001002,1698,269,328,0,956
9234878001002,520,61,586,1,158
9235198001002,565,202,618,2,586
9235582001002,142,462,221,5,686
9235774001002,590,79,51,10,211
9235838001002,1572,334,482,8,319
9236158001002,1669,371,482,11,81
9236222001002,520,77,595,4,158
9236414001002,667,462,482,0,588
9236734001002,520,136,372,7,158
9237566001002,1699,227,635,0,986
9237758001002,1792,464,284,2,857
9237886001002,276,361,160,9,689
9238078001002,1454,233,527,11,748
9238334001002,319,55,55,1,210
9239166001002,227,235,395,1,80
9239294001002,743,62,103,2,559
9239614001002,1432,451,459,2,410
9239678001002,1069,216,367,3,516
9239806001002,1479,216,305,3,467
9239998001002,308,154,349,4,519
9240702001002,1699,464,209,8,986
9241470001002,1528,14,57,1,529
9242558001002,878,222,21,1,19
9242814001002,715,101,80,10,893
9244094001002,300,216,336,7,167
9244286001002,220,57,160,5,796
9244478001002,248,331,561,8,486
9244606001002,318,26,357,0,210
9244734001002,1479,415,357,7,372
9244862001002,1339,424,160,4,380
9245182001002,1150,216,472,4,327
9245246001002,1639,447,96,2,535
9245310001002,317,204,357,5,854
9245502001002,1121,51,407,2,8
9245566001002,1150,247,71,2,313
9245886001002,323,390,319,7,456
9246142001002,875,293,216,2,749
9246270001002,227,239,613,11,80
9246334001002,1339,216,347,7,780
9246398001002,258,377,554,0,619
9246462001002,297,355,511,8,167
9246910001002,180,199,198,8,218
9247806001002,245,37,357,10,41
9248766001002,1800,445,457,11,539
9247998001002,1438,381,357,1,28
9248126001002,228,374,137,8,461
9248446001002,245,492,130,5,41
9248830001002,1351,240,586,11,231
9248894001002,981,218,521,5,461
9249086001002,241,270,556,2,211
9249022001002,1734,442,395,7,379
9249150001002,366,270,357,9,461
9249342001002,245,168,357,11,41
9249662001002,268,53,649,5,69
9250878001002,195,442,358,5,110
9249982001002,235,1,565,2,281
9250302001002,1473,216,158,11,991
9251710001002,201,340,634,8,966
9251070001002,1088,245,357,9,352
9251198001002,1353,294,287,8,925
9251518001002,216,51,176,8,925
9251774001002,57,216,139,6,418
9251838001002,228,119,566,8,359
9252286001002,197,362,577,0,701
9252862001002,1399,359,136,11,19
9251902001002,1382,453,23,2,682
9252094001002,1389,216,287,0,455
9252350001002,290,266,520,11,7
9253630001002,1053,439,352,4,398
9255294001002,877,102,117,7,19
9255678001002,877,78,284,5,19
9255486001002,266,129,401,6,938
9256894001002,1766,228,500,5,371
9256126001002,877,301,527,8,19
9256318001002,19,140,437,7,17
9256382001002,669,216,610,11,298
9256510001002,602,216,286,6,235
9256830001002,67,216,436,0,216
9257086001002,127,482,422,2,986
9257278001002,560,398,539,10,610
9256958001002,1486,216,483,7,303
9257342001002,528,462,355,7,262
9257406001002,1399,391,483,2,19
9257854001002,1479,216,214,7,908
9258174001002,85,384,218,0,986
9258430001002,1039,223,77,4,247
9258942001002,85,456,112,9,986
9259134001002,1039,291,20,9,247
9259262001002,877,486,89,11,19
9259710001002,544,101,313,1,596
9259070001002,1039,295,189,8,626
9259198001002,85,329,112,1,986
9259518001002,552,36,181,10,44
9259774001002,989,102,620,8,19
9260606001002,1715,336,632,2,807
9261694001002,966,274,273,4,41
9261822001002,448,33,411,3,497
9262718001002,943,208,116,10,152
9262846001002,1591,140,480,10,840
9262462001002,1399,64,11,6,19
9263486001002,523,168,196,2,210
9264830001002,659,140,344,3,202
9263934001002,1114,229,313,0,138
9264254001002,578,399,75,2,255
9264638001002,914,127,116,1,37
9265086001002,0,199,436,5,157
9265150001002,1411,225,493,1,619
9265278001002,127,248,43,10,986
9265598001002,470,261,300,10,893
9266238001002,1234,74,644,7,19
9266302001002,468,388,25,2,59
9266814001002,544,442,631,3,596
9267198001002,464,491,116,6,926
9267262001002,442,115,494,8,158
9267390001002,647,105,417,1,596
9267774001002,1234,451,193,2,19
9268094001002,610,106,564,11,120
9268222001002,610,104,339,11,120
9268862001002,377,141,398,9,917
9269118001002,1506,37,351,2,12
9269310001002,644,453,300,10,648
9269502001002,1610,61,167,8,689
9269566001002,679,352,559,2,157
9270014001002,1234,486,535,7,19
9270462001002,1627,269,50,7,607
9270590001002,745,374,478,2,607
9270654001002,1425,258,14,0,607
9271294001002,977,260,510,5,107
9271742001002,633,269,353,2,696
9271614001002,977,283,531,5,107
9272382001002,760,244,357,1,696
9273278001002,1465,72,602,6,107
9273598001002,1465,300,482,3,107
9273790001002,524,269,316,5,263
9274238001002,1817,143,626,9,917
9274302001002,920,472,26,5,17
9274622001002,554,147,118,2,857
9274750001002,1530,113,311,9,900
9275262001002,115,441,224,2,261
9275518001002,938,282,378,7,25
9275774001002,639,216,227,11,201
9276222001002,856,141,458,1,17
9276286001002,26,386,283,1,25
9276926001002,66,227,71,10,410
9277246001002,99,106,603,2,235
9277886001002,1815,21,266,1,543
9279038001002,595,252,568,10,484
9279550001002,1182,37,237,6,19
9279614001002,542,153,221,5,809
9279742001002,373,283,225,2,211
9280190001002,878,100,402,1,19
9280638001002,137,206,356,7,888
9281470001002,539,125,89,2,371
9281534001002,1622,461,451,2,487
9282814001002,1507,165,221,1,853
9282558001002,1208,226,9,0,168
9283006001002,927,74,482,3,398
9282942001002,1507,157,523,2,853
9283070001002,927,72,623,2,398
9243326001002,197,439,583,2,701
9207547001002,399,94,7,8,792
9209851001002,421,225,300,7,151
9212219001002,658,398,70,4,596
9207355001002,1434,355,392,5,41
9207163001002,507,476,191,1,917
9209531001002,269,68,327,2,723
9209467001002,269,74,553,2,723
9210043001002,1785,374,439,5,543
9210811001002,1000,261,536,10,47
9211387001002,513,105,428,7,40
9211515001002,856,43,365,5,17
9211579001002,1090,80,122,2,398
9211643001002,1489,463,483,6,501
9212667001002,739,340,219,9,80
9212795001002,662,81,69,6,291
9213051001002,1054,265,328,1,343
9213307001002,854,263,426,4,486
9213499001002,600,216,418,11,29
9214075001002,561,174,162,11,299
9214331001002,69,216,278,5,966
9214651001002,147,383,477,1,80
9214715001002,1713,419,520,1,432
9214843001002,507,355,439,3,917
9214203001002,1003,419,345,5,986
9214907001002,131,96,520,10,486
9214971001002,131,241,423,0,486
9215227001002,534,56,619,2,986
9215291001002,1713,235,520,3,432
9215739001002,640,216,152,11,14
9215867001002,584,224,523,11,385
9216059001002,537,242,71,7,927
9216379001002,144,151,489,5,19
9216507001002,1152,155,300,10,247
9216571001002,1596,76,18,3,41
9216891001002,899,139,300,11,24
9217723001002,440,287,114,2,19
9218491001002,975,331,79,2,561
9218619001002,497,445,122,9,476
9218875001002,144,102,337,7,19
9218299001002,766,341,625,4,80
9219003001002,718,383,401,2,930
9219131001002,1287,346,442,2,460
9219323001002,470,101,548,10,893
9220219001002,791,429,122,4,157
9220347001002,1472,216,443,4,303
9220539001002,614,229,494,3,811
9220859001002,2,141,369,1,917
9220987001002,854,154,546,4,486
9221627001002,1503,223,153,5,619
9222203001002,1773,100,546,2,579
9222779001002,933,150,130,8,61
9222907001002,860,494,336,10,596
9223035001002,107,153,495,2,739
9223867001002,515,4,466,7,741
9224059001002,525,465,146,5,118
9224123001002,103,246,539,5,103
9224315001002,509,412,375,0,539
9224763001002,502,46,378,8,299
9224827001002,1507,22,530,6,853
9224955001002,128,53,21,4,136
9225019001002,540,445,337,11,476
9225403001002,1542,204,340,2,19
9225723001002,1476,372,521,3,561
9225915001002,910,464,226,2,986
9226107001002,1182,163,464,2,19
9226171001002,53,218,190,6,627
9226299001002,486,142,562,4,917
9226363001002,486,141,498,9,917
9226875001002,520,308,480,2,506
9226939001002,929,224,476,9,768
9227067001002,793,356,267,2,328
9227451001002,1182,110,405,6,19
9227771001002,131,37,520,0,486
9227707001002,1248,208,245,2,486
9228027001002,910,248,584,9,986
9228091001002,1713,228,298,0,432
9228219001002,994,415,145,5,25
9228411001002,1504,299,163,2,947
9229051001002,694,262,654,0,161
9229627001002,870,21,270,7,41
9229755001002,1589,232,640,10,26
9229883001002,928,104,636,4,19
9230587001002,1182,230,599,2,19
9230651001002,834,383,349,6,584
9230715001002,1182,205,165,0,194
9231547001002,107,314,266,2,739
9231739001002,1479,216,613,3,925
9231867001002,683,224,378,6,882
9231995001002,848,355,357,11,635
9232571001002,1699,150,454,0,986
9232955001002,634,492,620,9,19
9233275001002,749,242,154,9,398
9233403001002,562,419,384,2,432
9233659001002,929,159,486,8,620
9233787001002,614,286,208,2,811
9233979001002,137,401,216,8,888
9234363001002,1698,392,328,6,956
9234555001002,1504,172,542,6,947
9234811001002,520,283,482,0,427
9234875001002,520,67,244,11,158
9235835001002,520,320,482,7,158
9236027001002,1529,27,191,6,240
9236155001002,1669,103,1,0,81
9236219001002,520,122,542,9,158
9236411001002,520,278,482,7,158
9236539001002,383,177,419,10,40
9236667001002,574,69,221,0,596
9237627001002,1473,468,357,9,210
9237819001002,1040,316,261,8,442
9237883001002,303,428,258,10,496
9237947001002,1639,158,357,6,857
9238011001002,220,216,611,1,907
9238139001002,348,216,560,3,877
9238267001002,228,216,304,11,749
9238395001002,366,216,233,11,3
9238587001002,1478,5,587,2,261
9238715001002,195,463,641,5,110
9239035001002,1492,289,357,2,77
9239355001002,276,223,432,9,689
9239611001002,299,46,49,8,700
9239675001002,228,360,463,2,666
9239739001002,334,102,371,2,410
9239995001002,308,182,349,4,519
9240315001002,1283,475,589,8,831
9240891001002,187,473,467,0,482
9241339001002,520,51,599,3,158
9241467001002,1528,92,482,8,529
9241595001002,934,310,221,11,441
9241851001002,520,285,139,2,158
9242107001002,878,222,510,10,19
9242235001002,878,234,510,8,19
9244027001002,369,439,345,2,326
9244283001002,1388,216,347,0,863
9244347001002,220,216,8,0,287
9244475001002,248,209,41,8,486
9244539001002,875,216,14,5,245
9244923001002,968,20,160,3,399
9245115001002,42,287,315,8,899
9245179001002,1150,311,84,3,324
9245307001002,303,216,40,4,496
9245371001002,335,216,106,9,899
9245435001002,1018,142,654,8,124
9245563001002,312,440,585,2,313
9245883001002,348,109,363,7,15
9246203001002,1797,439,543,6,435
9246331001002,1377,216,121,10,29
9246459001002,317,268,643,8,935
9246587001002,209,479,168,3,664
9247163001002,875,489,501,8,461
9247291001002,214,147,357,0,299
9247739001002,1401,293,79,11,283
9247867001002,1459,493,357,1,101
9247931001002,1322,218,206,7,352
9248251001002,266,151,232,3,482
9248379001002,84,89,160,1,966
9248571001002,223,192,358,6,26
9249275001002,175,248,412,7,552
9249211001002,1820,445,559,2,980
9249595001002,741,399,395,10,171
9250363001002,1639,216,269,0,29
9250619001002,1270,216,378,11,246
9250171001002,74,255,71,8,854
9250555001002,1125,129,13,2,29
9250747001002,339,2,506,8,935
9250811001002,306,216,334,10,3
9251579001002,303,430,121,0,496
9251195001002,111,216,379,6,77
9251323001002,353,156,77,2,80
9251707001002,358,378,357,0,455
9252283001002,197,324,146,0,701
9252539001002,366,38,505,8,966
9252731001002,298,216,470,11,874
9253755001002,794,239,523,5,291
9253883001002,1119,90,258,11,80
9253947001002,267,13,396,3,305
9254331001002,1293,218,74,0,191
9254843001002,1502,367,544,2,893
9254971001002,1436,318,74,10,533
9255483001002,1468,387,349,5,997
9256635001002,1399,29,164,2,19
9257211001002,0,361,479,8,157
9257915001002,1381,216,387,7,456
9258043001002,317,450,456,8,299
9258107001002,339,354,298,0,437
9258555001002,1417,476,286,8,486
9259003001002,1462,208,218,11,811
9259131001002,1039,287,332,8,626
9260283001002,989,149,116,0,19
