PanjivaRecordID,Carrier,ConsigneePanjivaID,GoodsShipped,PortOfUnlading,ShipmentDestination,ShipmentOrigin,ShipperPanjivaID
263535001001,15,1223,20,259,150,20,427
263663001001,6,1159,20,263,303,20,189
263791001001,15,1499,44,178,9,20,631
264623001001,13,582,20,306,118,24,409
264815001001,13,539,26,289,42,50,84
265199001001,12,263,81,282,293,9,225
265263001001,10,288,34,109,133,13,321
265327001001,3,125,26,328,349,50,232
265391001001,21,257,61,184,248,20,98
265455001001,17,209,110,191,202,25,324
265519001001,21,1579,83,248,202,50,300
265583001001,21,93,20,15,125,44,56
257162001001,7,681,47,198,286,20,651
257482001001,14,1342,34,284,114,13,143
259466001001,15,1249,126,315,101,52,308
259530001001,15,906,20,268,38,53,124
259658001001,23,95,46,15,125,47,557
259722001001,22,1238,82,15,125,50,531
260938001001,3,834,20,265,275,20,154
261898001001,24,307,115,191,19,20,35
262794001001,22,1290,34,24,114,20,524
262922001001,14,1198,34,24,28,20,156
263946001001,15,395,20,142,148,56,620
264010001001,15,1300,20,236,246,0,323
264138001001,15,1107,28,249,221,5,485
264266001001,15,395,20,142,147,33,314
264330001001,15,857,20,235,7,20,615
264522001001,10,605,28,261,342,18,642
266378001001,6,607,20,263,303,33,60
257802001001,20,314,44,80,333,20,114
257994001001,25,1106,34,325,198,13,143
258122001001,2,1167,42,157,165,50,579
258186001001,23,419,85,144,150,23,11
258250001001,23,439,58,15,235,20,93
258506001001,1,441,20,317,151,20,167
258634001001,1,643,34,109,114,3,53
258762001001,0,988,26,328,349,50,84
258890001001,1,1355,34,109,248,41,362
258954001001,1,345,34,98,221,2,244
259146001001,13,486,11,179,188,32,282
260554001001,10,524,84,170,178,8,35
262282001001,13,871,20,309,141,20,105
262346001001,13,1477,110,220,5,35,198
262538001001,13,1448,26,279,17,50,84
263882001001,6,505,21,261,272,13,643
264074001001,15,1014,20,64,88,39,305
264906001001,13,1477,110,260,5,35,192
265674001001,20,1114,34,109,114,20,200
265802001001,7,100,44,282,60,20,553
266122001001,6,1378,20,240,127,20,238
266634001001,17,1378,20,143,127,20,64
266762001001,22,1554,20,16,108,53,414
259018001001,13,1106,100,117,338,33,573
257226001001,8,321,16,274,285,50,220
257418001001,8,47,20,27,127,20,250
257866001001,3,847,20,144,150,20,503
259338001001,20,314,20,80,144,20,496
259786001001,23,846,18,113,118,11,32
260042001001,4,47,20,75,77,20,397
260234001001,10,1395,50,48,17,50,195
260426001001,20,1421,81,279,128,50,65
261066001001,14,1355,34,109,78,41,362
261130001001,14,1577,34,24,221,15,200
261194001001,14,1599,27,24,34,37,348
261386001001,23,325,57,265,288,16,492
261514001001,10,568,26,235,9,50,84
261578001001,14,40,18,14,16,20,170
261706001001,10,1366,26,113,118,5,84
262026001001,23,325,57,227,288,50,17
262090001001,19,1149,20,265,275,20,353
262154001001,23,329,57,277,288,54,455
263114001001,23,1290,34,109,108,13,321
263178001001,17,1080,34,109,114,20,47
263242001001,10,668,34,109,63,13,321
263306001001,5,1290,34,109,114,13,321
263498001001,15,1108,31,295,198,20,79
263818001001,0,1186,44,36,38,20,160
264778001001,13,536,20,261,321,20,135
265226001001,10,313,81,250,105,13,306
265354001001,6,1114,34,109,114,20,475
265418001001,17,1017,20,233,96,53,124
265482001001,21,87,123,213,222,62,571
265546001001,21,692,115,151,202,20,390
257467001001,14,1344,34,80,178,21,391
257531001001,14,1015,20,301,160,33,377
257787001001,7,1626,44,92,94,53,36
259259001001,13,585,20,142,247,20,394
259579001001,10,1366,26,36,204,50,84
259707001001,23,1503,42,212,221,54,369
260987001001,23,326,57,277,336,50,246
262779001001,14,1257,34,24,339,20,406
262907001001,14,1080,34,185,114,20,200
262971001001,12,773,34,109,224,20,406
263035001001,10,1585,110,265,26,20,524
264379001001,15,821,20,136,142,0,323
264443001001,15,999,115,12,146,20,615
266363001001,2,1241,20,263,303,23,443
258299001001,19,205,20,145,151,20,318
258491001001,17,235,84,191,202,20,421
258683001001,21,46,28,213,222,20,646
258747001001,1,182,73,24,20,35,307
259131001001,1,1290,34,109,114,28,321
260539001001,10,81,110,294,339,35,101
260603001001,18,1080,34,109,114,37,475
260795001001,6,98,114,308,158,50,413
262267001001,13,926,20,230,200,20,514
262395001001,2,411,110,316,335,35,372
262523001001,13,982,110,47,48,20,101
265787001001,24,1080,34,109,114,33,499
266555001001,4,1378,20,240,127,33,314
266619001001,6,1378,20,98,103,53,414
266747001001,17,1378,20,240,127,22,516
257083001001,10,178,20,265,275,0,242
257211001001,7,156,11,265,275,44,4
257403001001,8,47,20,104,220,15,575
257979001001,10,706,42,297,272,20,145
259771001001,10,725,0,210,49,50,157
260091001001,8,47,20,76,94,20,110
260219001001,10,708,18,48,247,20,524
260347001001,2,876,26,12,9,50,232
261051001001,3,699,42,170,178,50,369
261115001001,14,1106,34,24,353,21,641
261371001001,6,329,57,265,288,50,510
261435001001,6,1411,20,265,275,20,99
261563001001,10,1322,34,261,253,13,143
261627001001,10,287,42,311,304,50,91
261947001001,25,406,42,42,44,50,369
262139001001,23,325,57,211,288,50,41
262203001001,10,308,20,26,44,20,154
263099001001,10,125,26,328,349,40,232
263291001001,18,254,34,304,345,13,321
263547001001,6,607,20,263,303,20,443
263611001001,10,1618,18,156,38,35,279
264571001001,13,480,20,320,339,48,152
264635001001,25,1107,28,49,50,48,449
264827001001,11,539,26,15,125,50,84
265211001001,12,489,42,328,349,43,93
265403001001,21,1121,20,212,133,20,514
265531001001,21,220,42,213,79,20,87
257547001001,14,466,34,219,118,20,406
259531001001,15,726,20,12,84,53,124
259659001001,23,442,21,208,94,33,598
261003001001,11,1297,20,265,275,33,383
262795001001,14,1080,34,24,114,40,156
262923001001,14,288,34,65,114,13,321
263051001001,0,445,42,197,309,50,91
263947001001,19,567,114,239,249,57,572
264011001001,9,395,20,142,148,33,100
264139001001,15,395,20,86,148,33,329
264203001001,15,928,110,129,135,5,192
264267001001,15,780,20,22,85,33,439
264331001001,15,709,20,247,36,20,615
264459001001,15,1436,114,12,9,24,572
264523001001,10,1318,21,261,272,42,112
266443001001,17,1554,20,16,203,33,314
257483001001,0,1080,34,109,114,13,321
258123001001,20,547,34,157,165,13,72
258507001001,12,1560,115,212,221,20,197
258827001001,13,1000,11,105,110,28,201
259083001001,5,825,20,328,151,16,424
262283001001,4,1296,20,245,254,20,265
264715001001,20,178,34,265,275,13,143
264971001001,13,1069,20,245,254,14,363
265035001001,13,539,26,233,96,29,232
265739001001,19,678,82,202,211,30,247
265803001001,8,802,82,202,211,20,241
266187001001,17,1554,20,16,108,51,64
266571001001,17,1378,20,98,103,21,329
266635001001,17,1378,20,60,127,33,239
257419001001,8,47,20,240,127,37,330
257931001001,8,1110,42,12,9,50,91
259339001001,20,1170,20,113,118,35,189
259787001001,23,1618,18,113,18,20,32
259915001001,10,792,26,261,272,11,84
260043001001,0,47,20,75,77,20,250
260235001001,10,575,82,48,77,20,138
261067001001,14,451,21,50,51,37,223
261195001001,16,1599,27,24,171,20,348
261387001001,23,325,57,265,288,53,255
261771001001,13,972,34,221,327,20,156
261835001001,13,921,20,180,254,20,394
262027001001,23,325,57,61,288,42,144
262155001001,23,329,57,277,236,50,538
263115001001,23,1114,34,321,114,13,321
265291001001,18,175,61,310,328,1,193
265355001001,18,963,34,109,114,28,475
265547001001,10,1402,115,212,221,20,390
257580001001,2,114,115,212,221,20,355
259628001001,23,929,110,116,303,35,129
261036001001,10,19,20,315,285,20,353
262764001001,14,643,34,24,238,20,541
262892001001,14,1290,34,293,114,20,475
262956001001,20,739,34,109,114,13,72
264044001001,15,571,58,199,7,20,93
264172001001,15,1440,127,210,56,18,652
257260001001,25,949,20,263,303,30,404
258092001001,22,592,46,216,226,20,557
258156001001,23,1283,26,25,166,50,84
258476001001,1,993,34,271,13,13,38
258540001001,13,936,34,289,147,20,39
258604001001,1,1575,20,318,272,20,250
258668001001,2,201,34,279,290,20,648
258924001001,1,781,34,271,63,33,519
259116001001,1,825,20,328,349,55,424
260268001001,8,509,20,64,63,19,318
260460001001,6,848,20,328,319,20,152
262700001001,14,209,42,24,202,18,398
264940001001,5,912,20,285,296,20,205
266156001001,17,1554,20,16,108,52,373
266668001001,17,1611,44,47,337,33,127
266732001001,17,1378,20,285,185,53,414
266796001001,20,1524,20,80,82,6,516
263276001001,21,1216,34,109,114,13,321
257068001001,24,834,114,265,275,57,572
257196001001,7,544,0,265,275,7,307
257516001001,18,141,126,256,201,50,51
257644001001,12,1105,21,188,198,30,643
257836001001,15,818,20,263,303,2,361
259884001001,6,769,20,113,118,20,167
260012001001,4,47,20,240,127,20,176
260204001001,8,642,20,240,76,20,318
260396001001,10,1284,20,261,217,20,40
261100001001,8,351,26,212,221,50,84
261164001001,14,643,34,24,111,13,143
261356001001,15,329,57,265,288,8,582
261420001001,23,326,57,265,45,42,465
261484001001,23,1610,44,113,41,20,525
261548001001,10,547,34,157,134,13,72
261868001001,13,1171,20,330,351,27,495
261932001001,0,834,20,265,275,8,154
261996001001,23,329,57,222,288,59,490
263212001001,10,32,110,208,178,35,611
263788001001,15,1107,31,130,230,20,79
264620001001,6,582,20,113,118,33,100
264748001001,13,1256,20,117,292,20,105
265260001001,10,1114,34,109,76,20,475
265388001001,21,204,84,39,96,20,113
265516001001,21,99,115,306,221,20,166
266220001001,20,827,20,113,342,33,95
257120001001,7,662,98,293,237,20,651
257568001001,5,625,20,328,349,20,318
257760001001,11,66,84,311,94,20,400
259488001001,15,637,20,29,9,33,516
259680001001,23,1322,28,261,21,20,547
260960001001,23,325,57,105,288,50,255
261920001001,24,886,19,92,200,11,136
262752001001,14,466,34,24,131,20,406
262944001001,14,1203,26,24,214,50,84
264032001001,16,1227,20,142,148,20,265
264352001001,15,955,20,188,247,20,64
264416001001,6,1416,20,12,9,53,363
265056001001,9,1575,20,318,337,37,250
257248001001,25,607,20,141,303,20,323
258144001001,23,1102,34,208,195,20,648
258208001001,23,175,37,310,328,60,213
258464001001,1,1510,20,110,238,50,94
258592001001,1,1438,20,145,151,53,318
258784001001,1,346,20,326,283,20,403
258912001001,1,779,20,199,278,39,305
259104001001,1,643,34,155,114,13,321
260512001001,0,695,26,328,349,50,84
260832001001,6,466,34,170,178,51,406
262368001001,17,478,34,309,327,20,555
262432001001,13,768,18,300,263,35,279
262560001001,13,1083,84,179,188,4,400
262624001001,13,633,20,215,303,20,326
264992001001,4,721,20,300,318,20,318
266144001001,17,1554,20,16,180,33,337
266592001001,17,1554,20,16,117,33,467
266784001001,20,705,20,113,284,20,209
257184001001,7,1523,126,212,182,35,186
257312001001,23,325,57,265,189,30,542
257440001001,8,47,20,210,230,36,330
257504001001,18,1237,34,109,114,63,444
257632001001,23,469,20,49,293,20,265
257696001001,18,263,81,282,293,25,225
257888001001,15,1322,28,15,10,5,485
259936001001,10,1176,42,199,209,37,369
260064001001,1,47,20,240,127,24,409
260128001001,8,47,20,82,127,20,110
260192001001,8,47,115,240,158,33,331
261088001001,14,1080,34,228,114,20,475
261344001001,23,329,57,194,288,50,227
261472001001,6,771,20,261,272,20,318
261792001001,13,943,110,5,5,61,192
261856001001,16,1420,20,330,351,20,394
263136001001,23,643,34,109,296,13,143
263264001001,10,1080,34,109,114,0,648
263328001001,18,1080,34,109,114,46,519
263648001001,17,1322,54,261,272,57,392
263712001001,15,760,20,12,71,20,619
263776001001,15,1545,132,217,227,59,142
263840001001,10,664,81,85,38,48,535
264608001001,13,488,20,36,270,20,250
264800001001,13,1494,28,49,50,37,332
265184001001,23,1290,34,109,114,12,143
265248001001,10,1294,65,185,175,45,576
265376001001,21,639,20,259,96,33,360
265440001001,21,609,115,72,221,20,146
265504001001,21,770,115,2,221,20,211
265568001001,22,1619,115,191,202,53,124
265632001001,21,1455,115,191,223,33,331
266080001001,25,607,20,263,303,47,439
257542001001,14,1216,34,103,114,13,321
259462001001,12,1322,18,261,272,35,192
260998001001,23,653,20,265,275,10,99
261894001001,11,348,60,92,51,50,18
262790001001,14,1115,110,24,114,0,285
262854001001,14,347,26,24,221,62,84
262918001001,14,904,34,8,320,20,200
262982001001,14,717,18,265,199,35,624
264006001001,15,183,20,145,140,20,110
264198001001,15,778,20,122,243,20,361
264262001001,12,1190,20,134,140,20,394
264326001001,15,1014,20,64,189,20,615
264390001001,15,488,20,36,38,42,110
266374001001,2,1229,20,263,301,33,432
266438001001,12,1554,38,16,108,33,127
257798001001,19,822,101,113,118,57,572
258054001001,19,254,34,76,345,20,47
258118001001,23,777,42,261,272,16,579
258182001001,23,66,84,92,94,42,400
258566001001,13,1279,34,289,307,20,475
258694001001,13,1396,115,162,304,20,105
258758001001,1,901,20,26,345,20,318
258886001001,1,441,20,328,341,20,167
258950001001,1,179,57,128,349,50,41
259014001001,13,272,34,144,304,20,475
260486001001,23,1115,34,109,114,48,321
262278001001,13,912,20,262,296,20,503
262342001001,13,1130,34,5,173,20,156
262406001001,4,921,20,245,254,20,64
262470001001,13,480,20,303,21,20,152
262598001001,13,582,20,113,21,20,495
262662001001,5,209,42,92,94,20,398
265030001001,13,1291,81,15,125,9,548
265670001001,25,1080,34,109,114,28,200
265734001001,20,643,34,109,114,13,143
266566001001,17,1378,20,331,127,53,363
258630001001,1,1432,110,144,221,35,603
257350001001,23,446,114,117,275,57,375
257670001001,18,1355,34,207,114,41,362
260038001001,11,47,20,75,77,20,650
261190001001,2,730,34,24,229,20,475
261382001001,12,325,57,265,288,8,476
261702001001,10,1238,82,25,24,39,43
262022001001,24,325,57,277,288,50,492
262150001001,4,329,57,277,288,8,582
263110001001,10,263,81,245,293,57,357
263174001001,2,1424,20,301,319,50,94
263622001001,10,1522,34,261,268,13,321
263686001001,15,818,20,263,27,24,409
263814001001,7,1242,83,12,9,20,390
263878001001,19,3,18,316,335,35,603
265414001001,21,770,20,212,221,4,124
265606001001,21,84,7,212,221,6,13
257481001001,14,1172,34,212,221,16,596
257737001001,11,209,37,92,315,20,398
259465001001,15,466,34,219,229,56,406
259657001001,23,1238,82,15,125,1,43
259721001001,23,220,42,279,262,20,87
261001001001,23,1411,114,281,275,20,99
261897001001,24,1432,42,92,94,30,369
262857001001,14,439,58,24,221,27,93
262921001001,14,1290,34,173,114,20,156
263945001001,15,175,54,310,328,52,608
264201001001,15,680,20,323,153,20,512
264265001001,15,395,20,142,203,33,337
266441001001,4,1554,20,16,108,20,205
258249001001,23,64,126,15,125,6,186
258505001001,1,1534,20,212,221,42,373
258569001001,13,1339,20,170,178,0,56
259081001001,1,1114,34,109,114,16,475
262281001001,13,912,20,285,296,42,95
262409001001,13,1026,20,59,66,20,635
262473001001,13,593,20,319,104,20,176
262601001001,13,536,20,261,30,20,189
263881001001,10,1370,18,207,33,35,198
264713001001,10,178,20,189,275,33,180
265033001001,13,1212,34,65,227,35,344
265737001001,19,678,82,201,210,21,247
266569001001,11,1554,20,16,108,33,329
259017001001,2,538,47,261,272,20,364
257225001001,7,149,108,48,49,9,54
257289001001,23,329,57,156,288,47,14
258441001001,7,321,16,265,275,53,220
260041001001,8,47,20,75,97,20,440
260105001001,7,360,34,90,91,20,475
260169001001,23,1163,20,21,0,20,40
260297001001,4,688,20,296,314,20,135
261129001001,8,201,34,24,290,33,519
261193001001,16,466,34,24,229,20,406
261449001001,10,1437,44,11,136,20,160
261705001001,10,805,26,168,85,50,84
261833001001,13,879,110,316,305,35,372
262025001001,3,325,57,277,288,8,476
262153001001,23,329,57,277,36,8,266
263177001001,10,469,20,17,294,20,265
263241001001,10,773,34,62,114,13,321
263305001001,5,773,34,109,114,13,321
263561001001,15,1049,20,94,303,20,152
264777001001,13,582,20,113,37,1,395
265545001001,21,1458,115,150,221,20,390
259282001001,13,1022,20,158,252,20,503
259474001001,10,877,20,34,35,20,250
259538001001,15,1436,20,12,9,62,124
259730001001,23,378,110,103,283,35,532
260946001001,23,325,57,277,288,56,482
262738001001,14,936,34,194,202,20,39
262802001001,0,616,34,24,227,13,143
262866001001,20,236,82,24,23,50,31
262930001001,3,217,42,24,221,20,286
262994001001,10,309,105,42,44,43,61
263058001001,0,1220,18,290,44,35,603
264082001001,15,492,20,171,278,20,615
264146001001,15,1027,20,235,271,53,533
264210001001,15,1014,20,103,107,1,176
264402001001,15,463,20,17,145,20,250
264466001001,15,1468,20,161,169,17,148
257234001001,4,607,20,263,303,20,353
258066001001,7,225,81,324,247,13,345
258130001001,23,674,81,310,88,59,371
258194001001,23,1322,18,261,262,35,192
258642001001,1,848,20,145,134,33,239
258770001001,1,279,115,92,94,30,284
258898001001,1,1438,20,110,86,20,318
259090001001,1,41,34,271,110,20,596
260562001001,18,730,34,67,178,20,475
262226001001,13,118,18,41,118,35,102
262290001001,13,615,20,245,333,20,615
262354001001,19,183,20,134,140,20,110
262482001001,13,906,20,20,118,53,124
262546001001,18,1350,84,179,188,20,400
264914001001,13,1131,20,276,296,20,341
265682001001,5,1290,34,109,114,20,156
265746001001,20,1047,47,178,187,20,651
266322001001,2,1067,20,263,303,3,100
266578001001,6,1554,20,16,108,33,516
266642001001,17,1378,20,240,127,49,326
266770001001,3,817,20,113,118,33,95
257426001001,8,47,20,124,127,20,440
257490001001,10,1107,28,219,99,20,350
257874001001,15,1159,20,263,303,35,529
259346001001,20,822,44,113,189,20,114
259858001001,8,1238,82,25,24,50,531
260242001001,10,160,15,238,49,50,297
260434001001,10,40,118,279,327,20,170
261330001001,5,329,57,265,288,30,165
261394001001,5,23,57,265,288,42,493
261650001001,23,742,20,113,118,63,456
261842001001,12,473,20,8,8,20,152
262162001001,23,326,57,38,288,42,465
263122001001,4,1342,34,109,114,20,475
263250001001,10,643,34,55,114,13,143
263506001001,22,776,20,261,272,20,105
263698001001,15,1159,20,263,303,5,323
264594001001,13,633,20,53,303,20,318
264658001001,5,539,26,279,290,50,232
265170001001,23,1203,26,301,319,25,84
265234001001,10,1424,20,328,212,18,94
265298001001,2,1279,34,170,178,20,517
265362001001,22,125,26,145,151,50,232
265426001001,4,1543,115,212,221,20,619
265554001001,21,609,115,212,260,20,355
266066001001,25,607,20,309,303,20,189
257471001001,14,209,34,222,202,20,517
257535001001,14,1409,84,191,81,20,111
259519001001,15,975,20,36,172,20,619
259711001001,4,1279,34,212,221,13,143
261887001001,4,78,34,92,94,20,524
262975001001,12,643,34,109,200,20,596
263935001001,15,46,29,233,191,20,370
264319001001,15,183,20,327,140,20,105
264447001001,15,777,42,203,272,50,579
266367001001,2,607,20,263,246,20,353
257791001001,20,176,57,261,115,50,640
258047001001,19,380,82,202,135,20,507
258111001001,12,1170,20,113,118,20,588
258175001001,23,1129,81,25,45,32,371
258239001001,23,64,126,46,221,52,308
258623001001,11,1392,20,74,74,20,318
258687001001,13,1521,42,269,309,10,87
259007001001,13,1396,115,1,202,20,105
259071001001,4,1245,20,120,124,20,64
259135001001,13,1182,11,273,6,20,4
259199001001,4,625,20,328,349,20,318
259327001001,20,176,57,261,210,23,342
260607001001,18,990,34,109,114,23,143
262335001001,13,1353,34,310,328,3,72
262399001001,6,744,20,0,14,20,506
262655001001,13,1475,42,289,67,50,104
264895001001,16,183,20,134,140,24,409
266623001001,17,1378,20,241,127,20,291
265023001001,13,1475,7,289,304,21,182
257087001001,25,457,20,265,199,20,353
257215001001,7,834,20,265,47,20,154
257279001001,23,329,57,247,288,8,462
257727001001,7,171,23,256,36,20,132
257983001001,10,1322,42,261,272,51,544
258431001001,7,178,20,85,275,20,242
259775001001,23,1308,20,290,305,59,176
260031001001,8,47,20,50,77,53,414
261119001001,14,1114,34,24,114,4,475
261183001001,4,248,20,24,299,33,377
261375001001,23,329,57,265,288,27,144
261823001001,13,478,34,309,174,2,244
261951001001,12,1467,18,42,44,35,198
262079001001,10,178,20,265,42,13,134
262143001001,23,329,57,277,52,8,462
262207001001,10,400,20,265,44,9,353
263103001001,23,1203,26,328,319,37,84
